Compound_CID,Molecular_Weight,Molecular_Formula,SMILES,IUPAC_Name,Linked_PubChem_Literature_Count,Linked_PubChem_Patent_Count,Modified_Formula,Matched_Y_CID,Filtered_SMILES_X,Matched_Y_SMILES_Count,Matched_Y_CIDs
141268668,228.29,C15H16O2,CCCC1=C(C=CC(=C1)C2=CC=C(C=C2)O)O,4-(4-hydroxyphenyl)-2-propylphenol,0,5,C15H16O3,102722.0,CCCCCCCCCCCCCCCOO,64,150265163;169863683;168150481;163839147;163826530;160782032;155262286;154400824;141218509;140174523;134525037;130228173;118142427;118142425;102586603;102282001;102239909;102124999;102124998;101299647;101299643;101299642;101299639;101299607;101299603;101299602;101299599;100943211;100943210;100943209;90015536;84157248;71416199;70520955;70330436;68467507;57233905;56961600;54078618;44158479;23173355;21586709;21074434;20355721;20355718;19887670;18789826;18000573;18000572;15473956;14848833;11086006;10988515;10634037;10562259;7057686;7057685;7057684;7057683;2755699;656689;320671;120660;102722
141265698,352.4,C25H20O2,CC1=C(C=CC(=C1C2=CC=CC=C2)C3=CC=C(C=C3)C4=CC=C(C=C4)O)O,4-[4-(4-hydroxyphenyl)phenyl]-2-methyl-3-phenylphenol,0,0,C25H20O3,998422.0,CCCCCCCCCCCCCCCCCCCCCCCCCOO,3,6547486;3287444;998422
141265687,356.5,C25H24O2,CC1=C(C=CC(=C1C2=CC=CC=C2)C3=CCC(CC3)C4=CC=C(C=C4)O)O,4-[4-(4-hydroxyphenyl)cyclohexen-1-yl]-2-methyl-3-phenylphenol,0,0,C25H24O3,10406962.0,CCCCCCCCCCCCCCCCCCCCCCCCCOO,1,158029895
141264789,298.4,C20H26O2,CC(CCCCCCC1=CC=C(C=C1)O)C2=CC=C(C=C2)O,4-[7-(4-hydroxyphenyl)octyl]phenol,0,1,C20H26O3,10870747.0,CCCCCCCCCCCCCCOCCCCCCO,4,164146799;141095773;139838633;14396469
141228687,270.4,C18H22O2,CC(CC1=CC=C(C=C1)O)CC(C)C2=CC=C(C=C2)O,4-[4-(4-hydroxyphenyl)-2-methylpentyl]phenol,0,33,C18H22O3,133896.0,CCCCCCCCCOCCCCCCCCCO,9,162931617;92155732;92155731;92155730;57150459;57093936;5317328;233716;133896
141207960,212.24,C11H16O4,C1=CC(=CC=C1CCC(CO)(CO)O)O,"2-[2-(4-hydroxyphenyl)ethyl]propane-1,2,3-triol",0,0,C11H16O5,213933.0,CCCCCCCCCCOCOOO,3,172914392;157752252;67723860
141197423,304.4,C21H20O2,CC(C)C1=C(C=C(C=C1)C2=CC=C(C=C2)O)C3=CC=C(C=C3)O,4-[3-(4-hydroxyphenyl)-4-propan-2-ylphenyl]phenol,0,0,C21H20O3,290973.0,CCCCCCCCCCCCCCCOCCCCCCO,2,144294303;118352699
141183690,366.5,C25H34O2,CCCCCCCC1=C(C(=CC=C1)C2CCC(CC2)C3=CC=C(C=C3)O)O,2-heptyl-6-[4-(4-hydroxyphenyl)cyclohexyl]phenol,0,0,C25H34O3,10500127.0,CCCCCCCCCCCCCCCCCCCCCCCCCOO,1,10500127
141183689,292.4,C20H20O2,CCC1=C(C=CC(=C1)C2=CCC(C=C2)C3=CC=C(C=C3)O)O,"2-ethyl-4-[4-(4-hydroxyphenyl)cyclohexa-1,5-dien-1-yl]phenol",0,7,C20H20O3,19088711.0,CCCCCCCCCCCCCCCCCCCCOO,6,162675602;153387746;129394900;101739487;70387992;68584722
141133383,312.4,C21H28O2,CCC1=C(C=CC(=C1CC)O)C(CC)(CC)C2=CC=C(C=C2)O,"2,3-diethyl-4-[3-(4-hydroxyphenyl)pentan-3-yl]phenol",0,0,C21H28O3,5239155.0,CCCCCCCCCCOCCCCCCCCCCCO,2,71052745;5239155
141112182,270.4,C18H22O2,CC1(CC(C2=CC=C(CC21)O)(C)C3=CC=C(C=C3)O)C,"1-(4-hydroxyphenyl)-1,3,3-trimethyl-3a,4-dihydro-2H-inden-5-ol",0,1,C18H22O3,133896.0,CCCCCCCCCCOCCCCCCCOC,1,89128288
141081383,324.5,C22H28O2,CC1CC(CCCC1(C2=CC=C(C=C2)O)C3=CC=C(C=C3)O)(C)C,"4-[1-(4-hydroxyphenyl)-2,4,4-trimethylcycloheptyl]phenol",0,0,C22H28O3,23439831.0,CCCCCCCCCCCCCCOCCCCCCOCC,1,138710535
141075019,350.4,C25H18O2,C1C2=CC=CC=C2C3=C1C(=CC=C3)C4=C(C=CC(=C4)O)C5=CC=C(C=C5)O,3-(9H-fluoren-1-yl)-4-(4-hydroxyphenyl)phenol,0,0,C25H18O3,155358522.0,CCCCCCCCCCCCCCCCCCCOCCCCCCO,1,155358522
