Compound_CID,Molecular_Weight,Molecular_Formula,SMILES,IUPAC_Name,Linked_PubChem_Literature_Count,Linked_PubChem_Patent_Count,Modified_Formula,Matched_Y_CID
168335069,274.27,C15H14O5,C1=CC(=CC=C1C2=C(C2=O)C3=CC=C(C=C3)O)O.O.O,"2,3-bis(4-hydroxyphenyl)cycloprop-2-en-1-one;dihydrate",1,0,C15H14O6,90356439.0
168334091,268.3,C18H20O2,CCC(=O)[C@](CC)(C1=CC=CC=C1)C2=CC=C(C=C2)O,(4R)-4-(4-hydroxyphenyl)-4-phenylhexan-3-one,1,0,C18H20O3,130401.0
168333448,290.4,C20H18O2,C1CC[C@@](C(=O)C1)(C#CC2=CC=CC=C2)C3=CC=C(C=C3)O,(2S)-2-(4-hydroxyphenyl)-2-(2-phenylethynyl)cyclohexan-1-one,1,0,C20H18O3,58590320.0
92172870,242.27,C15H14O3,C1=CC=C(C=C1)[C@@H](CC(=O)O)C2=CC=C(C=C2)O,(3R)-3-(4-hydroxyphenyl)-3-phenylpropanoic acid,1,0,C15H14O4,5321855.0
168306025,296.3,C18H16O4,CC(=O)C1=CC=C(C=C1)/C(=C\C2=CC=C(C=C2)O)/C(=O)OC,methyl (E)-2-(4-acetylphenyl)-3-(4-hydroxyphenyl)prop-2-enoate,1,0,C18H16O5,19049281.0
168291570,400.4,C22H24O7,C[C@H](C(=O)[C@H]1C[C@@H]1[C@@H]([C@H]2CC=CC(=O)O2)OC)OC(=O)/C=C/C3=CC=C(C=C3)O,"[(2R)-1-[(1S,2S)-2-[(S)-methoxy-[(2R)-6-oxo-2,3-dihydropyran-2-yl]methyl]cyclopropyl]-1-oxopropan-2-yl] (E)-3-(4-hydroxyphenyl)prop-2-enoate",1,0,C22H24O8,158887856.0
168289581,320.4,C21H20O3,CC1(C=CC2=C(O1)C=C3C[C@@H](CC(=O)C3=C2)C4=CC=C(C=C4)O)C,"(8S)-8-(4-hydroxyphenyl)-2,2-dimethyl-8,9-dihydro-7H-benzo[g]chromen-6-one",1,0,C21H20O4,17782727.0
168289567,400.4,C22H24O7,C[C@H](C(=O)[C@H]1C[C@@H]1[C@@H]([C@H]2CC=CC(=O)O2)OC)OC(=O)/C=C\C3=CC=C(C=C3)O,"[(2R)-1-[(1S,2S)-2-[(S)-methoxy-[(2R)-6-oxo-2,3-dihydropyran-2-yl]methyl]cyclopropyl]-1-oxopropan-2-yl] (Z)-3-(4-hydroxyphenyl)prop-2-enoate",1,0,C22H24O8,158887856.0
168285834,300.3,C17H16O5,C1=CC(=CC=C1CC2C(C(C(=O)O2)O)C3=CC=C(C=C3)O)O,3-hydroxy-4-(4-hydroxyphenyl)-5-[(4-hydroxyphenyl)methyl]oxolan-2-one,1,0,C17H16O6,356763.0
168278622,338.4,C20H18O5,CC(C)([C@H]1CC2=C(O1)C=CC3=C2O/C(=C\C4=CC=C(C=C4)O)/C3=O)O,"(2Z,7R)-2-[(4-hydroxyphenyl)methylidene]-7-(2-hydroxypropan-2-yl)-7,8-dihydrofuro[2,3-g][1]benzofuran-3-one",1,0,C20H18O6,191796.0
168275563,386.4,C21H22O7,C[C@H]1[C@H]([C@H](C[C@@H](O1)OC2=CC3=C(C=C2)C(=O)C(CO3)C4=CC=C(C=C4)O)O)O,"7-[(2S,4S,5S,6S)-4,5-dihydroxy-6-methyloxan-2-yl]oxy-3-(4-hydroxyphenyl)-2,3-dihydrochromen-4-one",1,0,C21H22O8,16215160.0
168274641,266.29,C17H14O3,C\1CC2=C(C=CC=C2O)C(=O)/C1=C/C3=CC=C(C=C3)O,"(2E)-5-hydroxy-2-[(4-hydroxyphenyl)methylidene]-3,4-dihydronaphthalen-1-one",2,0,C17H14O4,128550.0
168272851,436.4,C21H24O10,C1=CC(=CC=C1[C@H]2[C@@H]([C@H](C3=C(O2)C=C(C=C3)O)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)O,"(2R,3R,4S,5S,6R)-2-[[(2S,3S,4S)-3,7-dihydroxy-2-(4-hydroxyphenyl)-3,4-dihydro-2H-chromen-4-yl]oxy]-6-(hydroxymethyl)oxane-3,4,5-triol",1,0,C21H24O11,142082614.0
168270621,356.4,C20H20O6,CCOC(=O)[C@]1(C(C(C(=O)O1)O)C2=CC=C(C=C2)O)CC3=CC=CC=C3,ethyl (2R)-2-benzyl-4-hydroxy-3-(4-hydroxyphenyl)-5-oxooxolane-2-carboxylate,1,0,C20H20O7,59085144.0
168270243,270.28,C16H14O4,COC1=C(C=C(C=C1)C(=O)/C=C/C2=CC=C(C=C2)O)O,(E)-1-(3-hydroxy-4-methoxyphenyl)-3-(4-hydroxyphenyl)prop-2-en-1-one,1,0,C16H14O5,44257524.0
168270181,258.269,C15H14O4,C1[C@H](COC2=CC(=C(C=C21)O)O)C3=CC=C(C=C3)O,"(3S)-3-(4-hydroxyphenyl)-3,4-dihydro-2H-chromene-6,7-diol",1,0,C15H14O5,56981221.0
168268868,266.29,C17H14O3,C1C/C(=C\C2=CC=C(C=C2)O)/C(=O)C3=C1C=CC(=C3)O,"(2E)-7-hydroxy-2-[(4-hydroxyphenyl)methylidene]-3,4-dihydronaphthalen-1-one",1,0,C17H14O4,128550.0
86096633,282.4,C19H22O2,C1=CC=C(C=C1)CCCCC(=O)CCC2=CC=C(C=C2)O,1-(4-hydroxyphenyl)-7-phenylheptan-3-one,1,0,C19H22O3,10017580.0
17904431,282.29,C17H14O4,COC1=CC2=C(C=C1)C=C(C(=O)O2)CC3=CC=C(C=C3)O,3-[(4-hydroxyphenyl)methyl]-7-methoxychromen-2-one,2,0,C17H14O5,72204963.0
168010247,292.3,C19H16O3,CC\1=C(C(=O)O/C1=C\C2=CC=C(C=C2)O)CC3=CC=CC=C3,(5Z)-3-benzyl-5-[(4-hydroxyphenyl)methylidene]-4-methylfuran-2-one,3,0,C19H16O4,18354065.0
167993276,274.27,C15H14O5,C1C(C(OC2=C1C=CC(=C2)O)(O)O)C3=CC=C(C=C3)O,"3-(4-hydroxyphenyl)-3,4-dihydrochromene-2,2,7-triol",1,0,C15H14O6,90356439.0
167488493,232.32,C15H20O2,C1CC2(CCC1C3=CC=C(C=C3)O)CC(C2)O,7-(4-hydroxyphenyl)spiro[3.5]nonan-2-ol,1,6,C15H20O3,366070.0
167488491,230.3,C15H18O2,C1CC2(CCC1C3=CC=C(C=C3)O)CC(=O)C2,7-(4-hydroxyphenyl)spiro[3.5]nonan-2-one,1,0,C15H18O3,5362533.0
166643297,404.4,C21H24O8,CC(C)(C(C(C1=C(C=C(C2=C1OC(CC2=O)C3=CC=C(C=C3)O)O)O)OC)O)O,"8-(2,3-dihydroxy-1-methoxy-3-methylbutyl)-5,7-dihydroxy-2-(4-hydroxyphenyl)-2,3-dihydrochromen-4-one",1,0,C21H24O9,161299608.0
166634335,328.36,C16H24O7,CC(C)(CO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O)C2=CC=C(C=C2)O,"(2R,3S,4S,5R,6R)-2-(hydroxymethyl)-6-[2-(4-hydroxyphenyl)-2-methylpropoxy]oxane-3,4,5-triol",1,2,C16H24O8,88725350.0
166632193,340.4,C17H24O7,C1CC(C1)(CO[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)C3=CC=C(C=C3)O,"(2R,3S,4S,5R,6R)-2-(hydroxymethyl)-6-[[1-(4-hydroxyphenyl)cyclobutyl]methoxy]oxane-3,4,5-triol",1,2,C17H24O8,163140819.0
166630757,324.4,C20H20O4,CC(=CCOC1=CC2=C(C=C1)C(=O)CC(O2)C3=CC=C(C=C3)O)C,"2-(4-hydroxyphenyl)-7-(3-methylbut-2-enoxy)-2,3-dihydrochromen-4-one",1,0,C20H20O5,10315195.0
166626283,284.31,C17H16O4,C1=CC=C(C=C1)C(=O)CC[C@@H](C(=O)C2=CC=C(C=C2)O)O,"(2S)-2-hydroxy-1-(4-hydroxyphenyl)-5-phenylpentane-1,5-dione",1,0,C17H16O5,7330534.0
78213986,410.5,C25H30O5,CC1(CCC2C3C(C=CC(O3)(C)C)C4C(C2O1)C(=O)C(=CO4)C5=CC=C(C=C5)O)C,"5-(4-hydroxyphenyl)-10,10,16,16-tetramethyl-3,9,15-trioxatetracyclo[12.4.0.02,7.08,13]octadeca-4,17-dien-6-one",1,0,C25H30O6,21071822.0
166450017,240.25,C15H12O3,C1=COC2=C(C1C3=CC=C(C=C3)O)C=CC(=C2)O,4-(4-hydroxyphenyl)-4H-chromen-7-ol,1,0,C15H12O4,11780117.0
