Molecular_Formula,Trimmed_SMILES
C28H32O17,CCCCCCCCCOCCCCCCOOCCCCCOCOOOOCCCCCOCOOOOOOO
C18H18O7,CCCCCCCCCOCCCCCCCOOOOCO
C25H24O14,CCCCCCCCCOCCCCCCOOCCCCCOCOCOCCOOOOOOO
C16H18O5,CCCCCCCCCCCCCCCOOOO
C16H18O5,CCCCCCCCCCCCCCCOOOO
C31H40O16,CCCCCCCCOCCCCCOCOCOCCCCCCCCOOCOOCCCCCOCOOOOOO
C31H40O16,CCCCCCCCOCCCCCOCOCOCCCCCCCCOOCOOCCCCCOCOOOOOO
C31H40O16,CCCCCCCCOCCCCCOCOCOCCCCCCCCOOCOOCCCCCOCOOOOOO
C20H20O7,CCCCCCCCCCOCOCCCCCCCOCOOO
C20H20O7,CCCCCCCCCCOCOCCCCCCCOCOOO
C28H32O17,CCCCCCCCCOCCCCCCOOCCCCCOCOOOOCCCCCOCOOOOOOO
C19H20O7,CCCCCCCCCOCCCCCCCOOOCOCO
C16H18O9,CCCCCCCCCOOCCCCCCOOOOOO
C16H18O9,CCCCCCCCCOOCCCCCCOOOOOO
C22H20O13,CCCCCCCCCOCCCCCCOOOOCCCCCOCOOOOOO
C28H28O18,CCCCCCCCCOCCCCCCOOCCCCCOCOOOOOCCCCCOCOOOOOOO
C28H28O18,CCCCCCCCCOCCCCCCOOCCCCCOCOOOOOCCCCCOCOOOOOOO
C25H32O13,CCCCCCCCCOOCCCCOCCCCOCOOCCCCCOCOOOOO
C25H32O13,CCCCCCCCCOOCCCCOCCCCOCOOCCCCCOCOOOOO
C21H24O9,CCCCCCCCCCCCCCOCCCCCOCOOOOOO
C21H24O9,CCCCCCCCCCCCCCOCCCCCOCOOOOOO
C21H24O9,CCCCCCCCCCCCCCOCCCCCOCOOOOOO
C21H24O9,CCCCCCCCCCCCCCOCCCCCOCOOOOOO
C19H20O7,CCCCCCCCCOCCCCCCCOOCOOCO
C19H20O7,CCCCCCCCCOCCCCCCCOOCOOCO
C22H22O10,CCCCCCCCCOCCOCCCCOCCCCCOCOOOOO
C22H22O10,CCCCCCCCCOCCOCCCCOCCCCCOCOOOOO
C26H26O12,CCCCCCCCCOOCCCCCCOCOCCCCCCCCOOCOOOOO
C26H26O12,CCCCCCCCCOOCCCCCCOCOCCCCCCCCOOCOOOOO
C26H26O12,CCCCCCCCCOOCCCCCCOCOCCCCCCCCOOCOOOOO
C26H26O12,CCCCCCCCCOOCCCCCCOCOCCCCCCCCOOCOOOOO
C26H26O12,CCCCCCCCCOOCCCCCCOCOCCCCCCCCOOCOOOOO
C20H20O8,CCCCCCCCCOOCCOCCCCCCCOOOCO
C20H20O8,CCCCCCCCCOOCCOCCCCCCCOOOCO
C26H32O11,CCCCCCCCCCOCOCCCCCCCOCCCCCOCOOOOOCO
C57H72O33,CCCCCCCCCOOCCCCCOCOOOCOCCCCCCOCCCCCOCOOCOCCCCCCCCOOCOCCCCCOCOOCCCCCOCOOOOOOOCCCCCOCOOOOO
C57H72O33,CCCCCCCCCOOCCCCCOCOOOCOCCCCCCOCCCCCOCOOCOCCCCCCCCOOCOCCCCCOCOOCCCCCOCOOOOOOOCCCCCOCOOOOO
C22H24O10,CCCCCCCCCCCCCCOCCCCCOCOOOOCOOO
C20H22O11,CCCCCCCOCCCCCCOCCCCCOCOOOOOOO
C27H28O12,CCCCCCCCCOOCCCCCCOCOCCCCCCCCOOCOOCOOO
C20H18O6,CCCCCCCCCCOCOCCCCCCCOCOO
C20H18O6,CCCCCCCCCCOCOCCCCCCCOCOO
C26H26O12,CCCCCCCCCOOCCCCCCOOCOCCCCCCCCOOCOOOO
C26H26O12,CCCCCCCCCOOCCCCCCOOCOCCCCCCCCOOCOOOO
C26H26O12,CCCCCCCCCOOCCCCCCOOCOCCCCCCCCOOCOOOO
C26H26O12,CCCCCCCCCOOCCCCCCOOCOCCCCCCCCOOCOOOO
C26H26O12,CCCCCCCCCOOCCCCCCOOCOCCCCCCCCOOCOOOO
C26H26O12,CCCCCCCCCOOCCCCCCOOCOCCCCCCCCOOCOOOO
C16H20O9,CCCCCCCCCOOCCCCCOCOOOOO
C27H30O16,CCCCCCCCCOCCCCCCOOOOCCCCCOCOOOOCCCCOCOOOO
C27H30O16,CCCCCCCCCOCCCCCCOOOOCCCCCOCOOOOCCCCOCOOOO
C22H26O11,CCCCCCCCCCCCCCCOOCCCCCOCOOOOOOO
C19H18O8,CCCCCCCCCOOOCOCCCCCCCCOOO
C31H30O13,CCCCCCCCCOCCCCCCOOCCCCCOCOCOCCCCCCCCOOOOOO
C31H30O13,CCCCCCCCCOCCCCCCOOCCCCCOCOCOCCCCCCCCOOOOOO
C22H22O10,CCCCCCCCCOOCCOOCCCCCCCCCOCOOOO
C22H22O10,CCCCCCCCCOOCCOOCCCCCCCCCOCOOOO
C31H40O16,CCCCCCCCOCCCCCOCOOCOCCCCCCCCOOCOCCCCCOCOOOOOO
C29H34O18,CCCCCCCCCOCCOCCCCOOCOOCCCCCOCOCCCCCOCOOOOOOOO
C29H34O18,CCCCCCCCCOCCOCCCCOOCOOCCCCCOCOCCCCCOCOOOOOOOO
C26H20O8,CCCCCCCCCOCCOCCCCOCOCCCCCCCCOOCO
C28H32O17,CCCCCCCCCOCCCCCCOOOOCCCCCOCOOOOCCCCCOCOOOOO
C28H32O17,CCCCCCCCCOCCCCCCOOOOCCCCCOCOOOOCCCCCOCOOOOO
C28H32O17,CCCCCCCCCOCCCCCCOOOOCCCCCOCOOOOCCCCCOCOOOOO
C28H32O17,CCCCCCCCCOCCCCCCOOOOCCCCCOCOOOOCCCCCOCOOOOO
C28H32O17,CCCCCCCCCOCCCCCCOOOOCCCCCOCOOOOCCCCCOCOOOOO
C16H14O6,CCCCCCCCCOCCOCCCCOOO
C22H22O11,CCCCCCCCCOCCCCCCOOCCCCCOCOOOOOO
C22H22O11,CCCCCCCCCOCCCCCCOOCCCCCOCOOOOOO
C22H22O11,CCCCCCCCCOCCCCCCOOCCCCCOCOOOOOO
C23H24O12,CCCCCCCCOCCCCCCCOOOCOCCCCCOCOOOOO
C23H24O12,CCCCCCCCOCCCCCCCOOOCOCCCCCOCOOOOO
C25H32O13,CCCCCCCCCOOCCCCCCCOCOCCCCCOCOOOOCOOO
